SMILES,Reward
CN(C)C(=O)CN1CCCCC1C1CCN(Cc2ccc(Cl)cc2NCCc2ccccc2)CC1,0.611111111
CN(C)C(=O)Nc1ccc(C(=O)N2CCCN(c3cc(Cl)ccc3Cl)CC2)cc1,0.611111111
CN(C)C(=O)Nc1ccc(C(=O)N2CCCN(c3ccc(Cl)cc3Cl)CC2)cc1,0.611111111
CN(C)C(=O)c1ccccc1CN1CCN(c2cc(Cl)cc(C#CCNC(=O)NC3CC3)c2)CC1,0.611111111
CN(C)c1ccc(-c2ccc(CN3CCC(C(=O)NCc4ccccc4Cl)CC3)cc2)cc1,0.611111111
CN(C)c1ccc(CN2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)c(Cl)c1,0.611111111
O=C(Nc1cccc(Cl)c1)N1CCNCC1,0.555555556
CCNC(=O)N1CCN(c2ccc(F)cc2)CC1,0.555555556
N#Cc1ccc(N2CCN(C(=O)Nc3cccc(Cl)c3)CC2)cc1,0.555555556
CC(C)CC(=O)N1CCN(c2ccc(Cl)cc2NCC2CC2)CC1,0.555555556
CC(C)C(=O)N1CCN(c2ccc(Cl)cc2N)CC1,0.555555556
CC(C)(C)NC(=O)N1CCN(c2cccc(Cl)n2)CC1,0.555555556
N#Cc1ccc(N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)cc1,0.555555556
CN(C)c1ccc(CN2CCN(CC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)CC2)cc1,0.555555556
CC(C)C(=O)Nc1ccc(Cl)nc1N1CCNCC1,0.555555556
CN(C)c1ccc(CN2CCN(CC(=O)Nc3ccccc3C(F)(F)F)CC2)c(Cl)c1,0.555555556
CNC(=O)c1ccc(CN2CCN(c3cc(Cl)ccc3Cl)CC2C)cc1,0.555555556
Cc1nc(N2CCNCC2)ccc1-c1ccc(C(=O)N(C)c2ccccc2)cc1Cl,0.555555556
CC(C)N1CCC(CNc2ccc(Cl)c(N3CCNC3=O)c2)CC1,0.555555556
CNc1ccc(C)cc1CN1CCN(C(=O)Cc2ccc(Cl)cc2)CC1,0.555555556
,1.055555556
CC(C)C(CN1CCCNC1=O)NCc1ccc(N)c(Cl)c1,0.555555556
Cc1cnc(N2CCNCC2)c(-c2ccc(C(=O)N(C)c3ccccc3)cc2Cl)c1,0.555555556
CC(C)NC(=O)NCCOCCCCN1CCN(c2cccc(Cl)c2Cl)CC1,0.555555556
CN(C)c1ccc(C(=O)N2CCN(c3ncncc3Cl)CC2)cc1,0.555555556
CN(C)Cc1cccc(C(=O)Nc2cc(Cl)ccc2N2CCN(c3ccc(Cl)cc3NCc3ccccc3)CC2)c1,0.555555556
CNc1ccc(Cl)c(C(=O)N2CCN(Cc3ccc(Cl)cc3)CC2CC(C)C)c1,0.555555556
CN(C)c1ccc(CNC2CCCN(C(=O)c3ccc(Cl)cc3)C2)cc1,0.555555556
CN(C=O)c1ccc(C(CCl)N2CCN(c3nc(F)c(F)cc3F)CC2)cc1,0.555555556
CC(C)CNc1ccc(N2CCN(C(=O)C=Cc3ccccc3)CC2)c(Cl)c1,0.555555556
CC(C)C(Cl)C(=O)NCc1c(Cl)cccc1N1CCN(C)CC1,0.555555556
CC(C)c1cc(CNc2ccc(CCN3CCNC3=O)cc2)ccc1Cl,0.555555556
CC(C)C(Cl)C(=O)N1CCN(c2ccc(C#N)cc2F)CC1,0.555555556
CN(C)CC(NC(=O)c1ccc(N2CCNCC2)c(F)c1)c1ccc(Cl)cc1,0.555555556
O=C(Nc1ccccc1)N1CCN(c2cccc(Cl)n2)CC1,0.5
NC(=O)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.5
CNC(=O)C=CCNCc1c(Cl)cccc1N1CCNCC1,0.5
O=C(Nc1ccc(Cl)cc1)N1CCN(c2cccc(Cl)n2)CC1,0.5
CC(=O)N1CCN(c2c(Cl)cccc2NCC(Cl)C(C)C)CC1,0.5
CN(C)C=NC(=O)N1CCN(c2ncc(C(F)(F)F)cc2Cl)CC1,0.5
CC(C)C(c1ccc(Cl)cc1)N1CCC(N2Cc3ccccc3NC2=O)CC1,0.5
O=C(CCl)N1CCN(c2ccccc2Cl)CC1,0.5
CN(C)C(=O)Nc1ccc(C(=O)N2CCN(CC(=O)Nc3cccc(F)c3)CC2)c(Cl)c1,0.5
CC(C)Nc1ccc(-c2ccc(NC(=O)CN3CCNCC3)cc2)cc1Cl,0.5
CC(C)(C)C(=O)N1CCN(c2ccc(NCC(Cl)Cl)cc2Cl)CC1,0.5
Cc1cc(-c2ccc(C(=O)N(C)c3ccccc3)cc2Cl)cnc1N1CCNCC1,0.5
