ID,SMILES
C3358,CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)c1ccnc(C=O)c1
C336,O=C(CBr)OCc1ccccc1
C3361,COC(=O)c1cnc(C(=O)O)cn1
C3362,COC(=O)c1cnc(C(=O)NCC(C)O)cn1
C3363,CC(O)CNC(=O)c1cnc(C(=O)O)cn1
C3401,CCOC(=O)CN(C(C)=O)C(=O)OC(C)(C)C
C3402,CC(=O)N(CC(=O)O)C(=O)OC(C)(C)C
C3403,CC(=O)N(CC(=O)Nn1cnnc1)C(=O)OC(C)(C)C
C3404,CC(=O)N(CC(=O)Nn1cnnc1)C(=O)O
C342,CNCC(=O)OC
C346,CNCCO
C3498,CCOC(=O)NS(C)(=O)=O
C3499,CCOC(=O)N(CC(=O)OC(C)(C)C)S(C)(=O)=O
C3500,CCOC(=O)N(CC(=O)O)S(C)(=O)=O
C3501,CCOC(=O)N(CC(=O)Nn1cnnc1)S(C)(=O)=O
C3621,CN(CCO)C(=O)C1CCCCC1
C3630,CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)C1CCCCC1
C3631,CC(C)(C)OC(=O)N(CC(=O)O)C(=O)C1CCCCC1
C3632,O=C(O)CN(C(=O)O)C(=O)C1CCCCC1
C3633,O=C(CN(C(=O)O)C(=O)C1CCCCC1)Nn1cnnc1
C366,O=C(Cl)C(F)(F)F
C3664,O=C(COCc1ccccc1)NC(=O)C1CCCCC1
C3665,O=C(CN(C(=O)COCc1ccccc1)C(=O)C1CCCCC1)Nn1cnnc1
C3666,O=C(CN(C(=O)CO)C(=O)C1CCCCC1)Nn1cnnc1
C3689,C[C@H](O)C(=O)NS(C)(=O)=O
C3692,C[C@H](O)C(=O)N(CC(=O)NNC(=O)c1cccnc1)S(C)(=O)=O
C3694,C[C@H](O)C(=O)N(CC(=O)O)S(C)(=O)=O
C3695,C[C@H](O)C(=O)N(CC(=O)OCc1ccccc1)S(C)(=O)=O
C3697,CCOC(=O)[C@H](C)O
C3785,CN(CC(=O)O)C(=O)C1CCCCC1
C3792,COC(=O)CN(C)C(=O)C1CCCCC1
C3795,CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1
C3796,CC(C)(C)OC(=O)N(CC(N)=O)C(=O)C1CCCCC1
C3797,CC(C)(C)OC(=O)NCC(N)=O
C3881,CC(=O)N(C)CC(N)=O
C3882,CC(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12
C3883,CCOC(=O)CN(C)C(C)=O
C3884,COC(=O)CN(C)C(C)=O
C3900,CN(CC(=O)O)C(=O)CCl
C3901,CN(CC(=O)Nn1cnnc1)C(=O)CCl
C3902,CN(CC(=O)Nn1cnnc1)C(=O)CO
C4010,CC(CN)Oc1ccc(-c2ccccc2)cc1
C4011,CC(CNC(=O)C(F)(F)F)Oc1ccc(-c2ccccc2)cc1
C4012,CC(Br)C#N
C4013,CC(C#N)Oc1ccc(-c2ccccc2)cc1
C402,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C
C405,Brc1cccnc1
C4055,Nc1cnc(Cl)nc1
C4058,O=C(CN(C(=O)CO)c1cnc(Cl)nc1)Nn1cnnc1
C4059,O=C(CNc1cnc(Cl)nc1)Nn1cnnc1
C4060,CC(=O)OCC(=O)N(CC(=O)Nn1cnnc1)c1cnc(Cl)nc1
C4205,CCOC(=O)CNC(=O)CN(C)C(=O)C1CCCCC1
C4238,CN(CC(=O)N(C)c1ncnc(Cl)c1C(=O)CCc1ccccc1)C(=O)OC(C)(C)C
C4239,CNCC(=O)N(C)c1ncnc(Cl)c1C(=O)CCc1ccccc1
C4344,Brc1c[nH]cn1
C4348,O=C(OCc1cc(F)cc(F)c1)n1cnc(Br)c1
C435,CC(C)(C)[Si](C)(C)Cl
C4352,Fc1cc(F)cc(CBr)c1
C4357,O=C(Oc1ccccc1)n1cnc(Br)c1
C4358,O=C(O)n1cnc(Br)c1
C4368,CNCC(=O)Nc1nc(Cl)nc2[nH]cnc12
C4369,C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12
C4370,C[C@H](O)C(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12
C4390,COc1ccc(C(N)=O)cc1
C4391,COc1ccc(C(=O)NC(=O)COCc2ccccc2)cc1
C4392,COc1ccc(C(=O)N(CC(=O)Nn2cnnc2)C(=O)COCc2ccccc2)cc1
C4393,COc1ccc(C(=O)N(CC(=O)Nn2cnnc2)C(=O)CO)cc1
C4402,CC(C)(C)OC(=O)N(CCO)C(=O)C1CCCCC1
C4419,CC(=O)N(C)CC(=O)Nn1cnnc1
C4574,CN(CC(=O)Nn1cnnc1)C(=O)C1CCCCC1
C4614,COc1ccc(C(=O)Nn2cnnc2)cc1C(C)=O
C4683,COc1ccc(C(=O)Cl)cc1C(C)=O
C4684,COc1ccc(C(=O)OC(C)CNC(=O)C(F)(F)F)cc1C(C)=O
C4696,CN(CC(N)=O)C(=O)C1CCCCC1
C4697,CN(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1
C4852,COc1ccc(O)c(CN(CC(=O)Nn2cnnc2)C(=O)CO)c1
C4854,COc1cccc(CNCC(=O)Nn2cnnc2)c1
C4855,COc1cccc(CN(CC(=O)Nn2cnnc2)C(=O)CO)c1
C4895,C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)NS(C)(=O)=O
C4896,Clc1ccc2[nH]c(CBr)nc2c1
C4897,C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O
C4898,C[C@H](O)C(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O
C4967,C=CCN(C(=O)OC(C)(C)C)C(=O)C1CCCCC1
C4968,CC(C)(C)OC(=O)N(CC=O)C(=O)C1CCCCC1
C5077,CC(C)[C@@H](CO)NC(=O)OC(C)(C)C
C5078,CC(C)NCC(=O)Nc1nc(N(C(=O)OC(C)(C)C)[C@H](CO)C(C)C)nc2[nH]cnc12
C542,CCOC(=O)CN
C643,CNCC(=O)O
C653,CC(=O)OCC(=O)O
C664,CNC(C)=O
C680,CC(C)(C)OC(=O)NCC(=O)O
C681,Oc1ccc(-c2ccccc2)cc1
C703,CC=O
C734,O=C(Cl)COCc1ccccc1
C768,CN(CC(=O)O)C(=O)OC(C)(C)C
C77,O=C(O)COCc1ccccc1
C80,Nn1cnnc1
C81,O=C(CBr)Nn1cnnc1
C822,C[C@H](O)C(=O)O
C823,CCOC(=O)CNC(=O)[C@H](C)O
C824,CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)[C@H](C)O
C828,CCOC(=O)CNC(=O)OC(C)(C)C
C829,C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)O
C830,C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)Cl
C831,CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)[C@H](C)O[Si](C)(C)C(C)(C)C
C834,O=[N+]([O-])c1c(Cl)ncnc1Cl
C84,O=C(CCl)Nn1cnnc1
C876,COc1cccc(CN)c1
C9,O=C(Cl)CCl
C901,CC(C)NCC(N)=O
C902,CC(C)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12
C93,C=CCBr
R1011,CS(N)(=O)=O.C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)O>>C[C@H](O[Si](C)(C)C(C)(C)C)C(=O)NS(C)(=O)=O
R1253,CC(=O)Cl.CNc1cc(Cl)ncn1>>CC(=O)N(C)c1cc(Cl)ncn1
R1261,CC(=O)Cl.COC(=O)c1ccc(OC)cc1>>COC(=O)c1ccc(OC)c(C(C)=O)c1
R1279,CC(=O)Cl>>CC(N)=O
R1281,CC(=O)Cl.COc1ccc(C(C#N)c2cccnc2)cc1>>COc1ccc(C(C#N)c2cccnc2)cc1C(C)=O
R1340,CC(=O)Cl.CCOC(=O)CNC>>CCOC(=O)CN(C)C(C)=O
R1341,CC(=O)Cl.CNCC(=O)OC>>COC(=O)CN(C)C(C)=O
R169,CNCC(=O)O.O=C(Cl)CCl>>CN(CC(=O)O)C(=O)CCl
R1863,Brc1c[nH]cn1.O=C(Cl)Oc1ccccc1>>O=C(Oc1ccccc1)n1cnc(Br)c1
