SMILES,ID,Reward
CCC(N1CCC(=O)c2ccc(-c3ccc(C#N)c(N4CCOCC4)c3)nc21)C(C)(C)C,C9295,1.0
CCn1c(C)c(CNc2ccc(OCC(C)(C)C#N)c(CN3CCOCC3)c2)c2ccc(C)cc21,C8179,0.956521739
Cc1ccccc1-c1[nH]c2ccc(C(C)(C)C)cc2c1CN1CCC(OCCN2CCOCC2)C1,C77,0.956521739
CCNc1ccccc1CN1CCC2(CC1)OC(=O)c1cccnc12,C4428,0.913043478
Cc1ccc(C(CCNc2ccc(C)c(C)c2)N2CCC3(CC2)OC(=O)c2ccncc23)cc1,C8348,0.913043478
CCc1ccc2[nH]c(C(C)(C)C)c(CN3CCc4cc(N5CCOCC5)ccc43)c2c1,C2,0.869565217
CC(C)(C)OC(=O)c1ccccc1COC1CCCN(c2ncnc3[nH]cnc23)C1,C7544,0.869565217
CCOc1cc(N2CCOCC2)c(OCC)cc1NCc1cn(CCC#N)c2ccccc12,C110,0.869565217
CC(C)(C)OC(=O)c1ccccc1COC1CCN(c2ncnc3[nH]cnc23)CC1,C7542,0.869565217
CCOc1ccc(-c2[nH]c3ccccc3c2CN(CCCN2CCOCC2)Cc2ccc(N(C)C)cc2)cc1,C427,0.869565217
CCn1c(C)c(CN(Cc2ccc(C(C)(C)C#N)cc2)c2cccc(N3CCOC(CO)C3)c2)c2cc(C)ccc21,C7829,0.869565217
CCOC(=O)c1[nH]c2ccc(OC3(CCNCC(C#N)C(C)C)CCN(c4ccccc4)CC3)cc2c1C,C10084,0.869565217
CCOc1cc(N2CCOC(C)(C)C2)ccc1NCc1c[nH]c2ccc(C#N)cc12,C8591,0.826086957
CCOC(=O)c1cnc(C(C)(C)C)cc1OC1CNCC1N1CCc2ccccc2C1,C6819,0.826086957
CCC(c1ccc(C(C)(C)C)cc1)N(Cc1ccc2occc2c1)Cc1cccnc1N1CCC(O)C1,C9112,0.826086957
CC(C)Oc1cc(N2CCC(N3CCOCC3)CC2)ccc1NC1CCCc2c1n(CCC#N)c1ccccc21,C51,0.826086957
Cc1ccccc1-c1[nH]c2ccc(C(C)(C)C)cc2c1CN1CCc2c(cccc2N2CCOC2=O)C1,C3913,0.826086957
CCc1ccc2[nH]c(C(C)(C)C)c(CNC3CCN(C4CCOC4=O)CC3)c2c1,C971,0.826086957
CCC(CC)(CC)CN(CCc1c[nH]c2ccccc12)Cc1cc(-c2cnc(N3CCOCC3)c(C#N)c2)ccc1OC,C9610,0.826086957
CC1(C)C(=O)Nc2ccc(CNC(CC#N)c3ccc(N4CCOCC4)cc3)cc21,C9903,0.826086957
Cc1ccccc1-c1[nH]c2ccc(C(C)(C)C)cc2c1CN1CCOC2CCN(Cc3ccccc3)CC21,C3157,0.826086957
CC1(C)C(C(=O)c2cn(CCN3CCOCC3)c3ccccc23)C1(C)C,C7016,0.782608696
CCOC(=O)c1cnc(N(CCCN2CCOCC2)Cc2c(C3CCCC3)[nH]c3ccc(C(C)(C)C)cc23)nc1C,C5576,0.782608696
Cc1nc2ccc(OCC3CCC(C)(C)CO3)c(CN3CCCCC3)c2n1-c1cccc(C#N)c1,C8281,0.782608696
CCCCN1CCCc2cc(CN(CCCN3CCOCC3)Cc3c(C4CCCC4)[nH]c4ccc(C(C)(C)C)cc34)ccc21,C1952,0.782608696
CCc1ccc2[nH]c(C(C)(C)C)c(CN3CCC(N4C(=O)OCc5ccccc54)CC3)c2c1,C957,0.782608696
CCCCOC(=O)c1cc(N2CCN(Cc3c(C4CCCC4)[nH]c4ccc(C(C)(C)C)cc34)CC2)c2c(C)ccc(C)c2n1,C5335,0.739130435
CC(C)(C)c1ccc(CN2CCOC(CN3C(=O)c4ccccc4C3=O)C2)cn1,C3991,0.739130435
CCCOc1cc2c(cc1CNC1CCN(c3nc4cc(C(C)(C)C)ccc4o3)CC1)CCC2,C8809,0.739130435
Cc1c(CNC2(c3cccc(C(C)(C)C)c3)CCOCC2)c2ccccc2n1CC(O)CN1CCCC1,C9553,0.739130435
CCn1cc(C(C)Nc2ccc(N3CCOCC3)c(CO)c2)c2ccccc21,C7295,0.739130435
CCCCN1CCCc2cc(CN(Cc3ccco3)Cc3c(C4CCCC4)[nH]c4ccc(C(C)(C)C)cc34)ccc21,C3971,0.739130435
COc1cc(N2CCN(Cc3c(C4CCCC4)[nH]c4ccc(C(C)(C)C)cc34)CC2)ccc1OCc1ccccc1,C5232,0.739130435
CCc1ccc(-c2[nH]c3ccccc3c2CN2CCC(COC3CCN(C(=O)OC(C)(C)C)C3)CC2)cc1,C3900,0.739130435
Cc1cc2c(OCC(CN3CCCCC3)Oc3cc(NCCC#N)ccc3C)cccc2[nH]1,C4512,0.695652174
CCCNc1cc(OC(COc2cccc3[nH]c(C)cc23)CN2CCOCC2)ccc1C#N,C9433,0.695652174
CCOC(=O)c1cc2ccc(OC3(C)CCN(C4CCNCC4)C3)cc2nc1C,C6578,0.695652174
CCOC(=O)c1ncn2c1CN(Cc1c(-c3ccccc3C)[nH]c3ccc(C(C)(C)C)cc13)CC2,C8813,0.695652174
CCc1ccc(-c2[nH]c3ccccc3c2CN2CCOc3ccc(CN(C(=O)C(C)C)c4ccccc4)cc3C2)cc1,C3898,0.695652174
CC(C)(C)c1[nH]c2ccc(C#N)cc2c1CN1CCC(N2CCC(O)C2=O)CC1,C3966,0.695652174
CC(C)(C)CC(NCC1CN(c2ncnc3[nH]cnc23)CCO1)c1ccccc1C#N,C7553,0.652173913
CCCCOC(=O)c1cc(N2CCC3(CC2)OCCO3)c2c(C)ccc(C)c2n1,C7213,0.652173913
CCOC(=O)c1cnc2c(C)cccc2c1N1CCCC1,C4273,0.652173913
Cc1ccc2cc(CN3CCC(O)(CNCc4ccccc4)C3)c(N3CCOCC3)nc2c1,C9266,0.652173913
N#Cc1cccc2c(CN3CCC4(CC3)CN(Cc3ccccc3)C(=O)CO4)c[nH]c12,C8734,0.652173913
CC(C)(C)Nc1cccc(Oc2ccccc2N2CCN(CC(O)COc3cccc4ccccc34)CC2)c1C#N,C9237,0.652173913
CC(C)(C)c1ccc(NCCC(c2ccc(Cl)c(Cl)c2)N2CCOC(c3cn4ccccc4n3)C2)cc1,C8637,0.652173913
CCOc1cc(C(C)(C)C)ccc1C(=O)Nc1ccc2[nH]c(CCN3CCOCC3)nc2c1,C8907,0.652173913
CC(C)(C)c1[nH]c2c(Nc3ccc(C=O)cc3F)cccc2c1CN1CC2OCCN(Cc3ccccc3)C2C1,C3118,0.652173913
Cc1ccccc1-c1[nH]c2ccc(C(C)(C)C)cc2c1CNCCCN1C(=O)COc2ccccc21,C10071,0.652173913
CCOc1cc(C(C)(C)C)ccc1C(=O)Nc1ccc2[nH]c(N3CCOCC3)nc2c1,C416,0.652173913
CCc1ccc(-c2[nH]c3ccccc3c2CN2CCOC3CN(C(=O)OC(C)(C)C)CCC32)cc1,C3956,0.652173913
O=Cc1c(N2CCOCC2)nc2ccccn12,C83,0.608695652
CC(C)(C)OC1CNC(C(=O)N(CCCN2CCOCC2)c2c3ccccc3nc3ccccc23)C1,C8147,0.608695652
CC(C)(C)c1cc(COC(CNc2ccc(N3CCOCC3=O)cc2)CN2C(=O)c3ccccc3C2=O)cc(C(C)(C)C)c1,C4533,0.608695652
CCOC(=O)c1cc2cc(N3CCN(C4CC(C)(C)Nc5ccccc54)CC3)ccc2o1,C9504,0.608695652
CCc1ccc2[nH]c(C(C)(C)C)c(CN3CCC(N4CC(=O)Nc5ccccc54)C3)c2c1,C8831,0.608695652
CCOc1cc(C)c(CNc2ccc3[nH]c(CN4CCOCC4)nc3c2)cc1C(C)C,C8774,0.608695652
CC(C)c1cccc2c1OCCC2N1CCC2(CC1)C(=O)NCN2c1ccccc1,C9676,0.608695652
CCC(Nc1sc2c(c1C(=O)N1CCOCC1)CCC(C)(C)C2)c1ccc(C#N)cc1,C895,0.608695652
CCOc1ccc(CN2CCNCC2CCOc2ccc(C)c3[nH]c(C(C)(C)C)c(C=O)c23)cc1,C8611,0.608695652
CCCC(C1CCOC(C)(C)C1)N1CCN(Cc2c(-c3cccc(OC)c3)nc3ccccn23)CC1,C3606,0.608695652
CC(C)(C)c1ccc(CCN2CCNC(=O)C2Cc2nc3ccccc3o2)cc1,C7495,0.608695652
CCc1ccc2[nH]c(C(C)(C)C)c(CN3CCC(N4Cc5ncccc5C4=O)CC3)c2c1,C6957,0.608695652
CCc1ccc(CCNc2c(C#N)cnc3c(OCc4ccccc4C4(O)CCN(C(=O)OC(C)(C)C)C4)cccc23)cc1,C1022,0.608695652
CCn1cc(C(=O)OC(C#N)C(C)(C)C)c(=O)c2cnc(N3CCN(Cc4cc[nH]c4)CC3)nc21,C6648,0.608695652
CCCOc1cc(NC(C)(C)C)c(N)cc1OC(CN1CCNCC1)Cn1c(C)c(C)c2ccccc21,C7510,0.565217391
CC1(C)OCCn2c1nc1c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,C6461,0.565217391
Cc1ccc(C(C)(C)C)cc1CC(=O)NCC1CN(c2nc3ncccc3o2)CCO1,C9558,0.565217391
Cc1nc2ccccn2c1C(=O)CN1CCOCC1,C311,0.565217391
Cn1c(N2CCOCC2)c(C=O)c2ccccc21,C241,0.565217391
CCc1cccc2c(C(=O)N3CCOC4CN(C(=O)OC(C)(C)C)CC43)cc(-c3ccccc3C)nc12,C2220,0.565217391
CCc1cccc2c(CN3CCCC(c4n[nH]cc4C(=O)N4CCOCC4)C3)c(C(C)(C)C)[nH]c12,C880,0.565217391
CC(C)(C)c1ccccc1OCC(=O)N1CCCN(Cc2c[nH]c3ccncc23)CC1,C7570,0.565217391
Cc1cncnc1N1CCC(Oc2ccc(C#N)c(NCC3CCOC3)c2)C1,C9986,0.565217391
Cc1ccc(N2CC3(CCNCC3)OC2=O)cc1C,C9714,0.52173913
COc1ccccc1N1CCN(CC(C(=O)NC(C)(C)C)c2ccccc2)CC1,C7335,0.52173913
CCOc1cc(N2CCN3CCCC3C2)ccc1N,C6118,0.52173913
CCOc1cc(N2CCOCC2)ccc1N,C491,0.52173913
Cc1nc2c(-c3cnc(NC(=O)CCCN4CCCC4=O)nc3)nc(N3CCOCC3)nc2n1C(C)C,C604,0.52173913
COc1cc(N2CCOC(C)(C)C2)ccc1N,C6789,0.52173913
CC(=O)c1cnc(N2CCOCC2)nc1C,C211,0.52173913
N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,C769,0.52173913
N#CC(=Cc1c[nH]c2ccccc12)C(=O)c1ccc(N2CCOCC2)c(F)c1,C5201,0.52173913
CCCCOC(=O)c1cc(N2CCOCC2)c2c(C)ccc(C)c2n1,C9557,0.52173913
CC(C)(C)c1ccc(COC2CCN(c3cnn(C4CCCNC4)c(=O)c3)C2)cc1,C6865,0.52173913
Cc1ccc2c(c1)oc(=O)n2C1CCN(C(=O)OC(C)(C)C)CC1,C5769,0.52173913
CC(=O)c1cc(N2CCOCC2)ccc1N,C684,0.52173913
Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1,C7015,0.52173913
CC(C)(C)OC(=O)N1CCC(n2c(=O)oc3ccccc32)CC1,C5776,0.52173913
CCC(C)(C)c1ccc(OCC(=O)Nc2nc3ccccc3n2CCN2CCOCC2)cc1,C7011,0.52173913
CC(C)(C)NCCCCCC(=O)Oc1cc2c(cc1CN1CCN(c3ccncc3)CC1)OCO2,C9477,0.52173913
CCn1cc(C(=O)N(Cc2ccco2)C(C)(C)C#N)c(=O)c2cc(F)c(N3CCNCC3)cc21,C5986,0.52173913
CCc1cccc2cc(CNC3CCOC3C3CCN(C(=O)OC(C)(C)C)CC3)c(OC)nc12,C9888,0.52173913
