SMILES,Reward
C[C@H](O)C(=O)N(CC(=O)NNC(=O)c1cccnc1)S(C)(=O)=O,1
CCOC(=O)CNC(=O)CN(C)C(=O)C1CCCCC1,1
COc1ccc(C(=O)OC(C)CNC(=O)C(F)(F)F)cc1C(C)=O,1
CN(CCO)C(=O)C1CCCCC1,1
CN(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1,1
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)COc1ccc(-c2ccccc2)cc1,1
CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)C1CCCCC1,1
CN(Cc1cccc(Br)c1)C(=O)CN(C)C(=O)C1CCCCC1,1
CN(CC(=O)Nn1cnnc1)C(=O)C1CCCCC1,1
O=C(CBr)NCC(=O)Nn1cnnc1,1
COc1ccc(C(=O)Nn2cnnc2)cc1C(C)=O,1
CCOC(=O)CN(C(=O)OC(C)(C)C)C(=O)[C@H](C)O,1
CNCC(=O)Nc1nc(Cl)nc2[nH]cnc12,1
CN(C(=O)C1CCCCC1)c1cc(Cl)ncn1,1
CC(=O)Nc1nc(NCC(C)O)nc2[nH]cnc12,1
O=C(CN(C(=O)CO)C(=O)C1CCCCC1)Nn1cnnc1,1
O=C(CN(C(=O)CO)c1cnc(Cl)nc1)Nn1cnnc1,1
C[C@H](O)C(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12,1
CN(CC(=O)Nn1cnnc1)C(=O)CO,1
CC(C)(C)OC(=O)N(CC(=O)Nc1nc(Cl)nc2[nH]cnc12)C(=O)C1CCCCC1,1
CC(=O)N(C)CC(=O)Nc1nc(Cl)nc2[nH]cnc12,1
C[C@H](O)C(=O)N(Cc1nc2cc(Cl)ccc2[nH]1)S(C)(=O)=O,1
CC(CNC(=O)C(F)(F)F)Oc1ccc(-c2ccccc2)cc1,1
CC(=O)N(CC(=O)Nn1cnnc1)C(=O)CO,1
CC(C)(C)OC(=O)N(CC(=O)Nn1cnnc1)C(=O)CBr,1
O=C(OCc1cc(F)cc(F)c1)n1cnc(Br)c1,1
Fc1cc(F)cc(CBr)c1,1
CCOc1ccc(-c2ccccc2)cc1,1
CNCC(=O)N(C)c1ncnc(Cl)c1C(=O)CCc1ccccc1,1
CN(CC(=O)Nn1cnnc1)S(C)(=O)=O,1
Cc1cc(C(=O)Nc2nc(Cl)nc3[nH]cnc23)ccc1NS(C)(=O)=O,1
CCOC(=O)N(CC(=O)Nn1cnnc1)S(C)(=O)=O,1
Cc1cc(C(=O)NNC(=O)c2cccnc2)ccc1NS(C)(=O)=O,1
CC(=O)N(C)CC(=O)Nn1cnnc1,1
CN(CCNn1cnnc1)C(=O)C1CCCCC1,1
CN(C(=O)CN(C(=O)O)C(=O)C1CCCCC1)c1ncnc(Cl)c1C(=O)CCc1ccccc1,1
O=C(O)NCC(=O)Nc1nc(Cl)nc2[nH]cnc12,1
CNCC(=O)N(C)c1ncncc1[N+](=O)[O-],1
