smiles,utility
O=C(O)CCCC(=O)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3532906815126
Cc1cc(OCc2cc(N)ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)ccc1C(C)C,1.3531499220302305
CC1(O)CCN(c2cc3nn4c(-c5ccncc5)nnc4sc-3cc2=O)CC1,1.3528289099718012
Nc1ccc(N)c(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)c1,1.352496922299041
O=C(O)CCc1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.3521215019283688
CN(c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12)c1cccc(C(N)=O)c1N,1.3519971347309654
O=c1cc(O)c2nn3c(-c4ccccc4-c4cc5c(s4)CCNC5)nnc3sc-2c1O,1.3519890821805407
CC(C)(C)c1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(N)c1,1.351696544311021
CN(c1cccc(CO)c1)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.35096923212105
O=C(CCCO)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3507687589906299
CCCC(O)CC(=O)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.350677744243685
Nc1cccc(COc2ccc(CCC(=O)O)cc2O)c1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3502529187996
NC(=O)C1CCN(c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)CC1,1.3498355207835109
CC1(C)C2C(=O)N(c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)C(=O)C21,1.3494194394505596
COc1cc(=O)c(OC)c2sc3nnc(-c4ccc(N)cc4COc4ccc(CCC(=O)O)cc4O)n3nc1-2,1.3493592472577443
CC1(O)CCN(c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)CC1,1.3493020297984692
NC(=O)c1c(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cccc1[N+](=O)[O-],1.3489743250750297
COC(=O)CCc1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.3485963475325697
NC(C(=O)O)c1ccc(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.3483768106880245
O=C(CCCCO)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3466076477433966
O=C(O)CCC(=O)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3455633735155517
Nc1ccc(-c2nnc3sc4cc(=O)ccc-4nn23)c(C=O)c1,1.345320150908261
O=c1cc(O)c2nn3c(-c4ccccc4N4CCC(CO)CC4)nnc3sc-2c1O,1.344759284471969
O=C1CCc2ccc(OCc3cc([N+](=O)[O-])ccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc21,1.3435894703237752
NCc1ccc(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)s1,1.3433078445621869
O=c1cc(O)c2nn3c(-c4ccccc4N=Nc4cc5c(cc4/C=N/O)OCCO5)nnc3sc-2c1O,1.3423942705791694
Nc1ccc(-c2nnc3sc4cc(=O)ccc-4nn23)c(COc2ccc(CCC(=O)O)cc2)c1,1.3423369979080806
CCOC(=O)CC(=O)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3415965307266986
CC(C)(C)c1ccc(OCc2cc(N)ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c([N+](=O)[O-])c1,1.3408941024032555
O=c1cc(O)c2nn3c(-c4ccccc4N4CCC(CCCO)CC4)nnc3sc-2c1O,1.3408086382827702
CCCOc1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.340182593033614
NC(=O)c1sc(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1N,1.3395266926028198
Cc1cc(N(C)c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(Cl)cc1N,1.3389534304307054
CCCCCc1ccc(OCc2cc(N)ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.338938107690075
CCCCCCc1ccc(OCc2cc(N)ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1O,1.3380475772426912
O=c1cc(O)c2nn3c(-c4ccc([N+](=O)[O-])cc4COc4ccc(OC5CCCCO5)cc4)nnc3sc-2c1O,1.337673274840126
CCOC(=O)CN1CCN(c2cc3nn4c(-c5ccccc5C)nnc4sc-3cc2=O)CC1,1.3375737392644607
COc1cc2nn3c(-c4ccccc4-c4ccc(C(=N)NO)s4)nnc3sc-2c(OC)c1=O,1.3369838451645175
CC(C)c1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1O,1.3359955077692924
Nc1cnc(-c2cc3nn4c(-c5ccncc5)nnc4sc-3cc2=O)nc1,1.3359357139755046
O=c1cc(O)c2nn3c(-c4ccccc4-c4c(O)cc(/C=C/c5ccc(O)cc5O)cc4O)nnc3sc-2c1O,1.3358229829721613
COc1cc2nn3c(-c4ccc(N)cc4COc4ccc(CCC(=O)O)cc4O)nnc3sc-2c(OC)c1=O,1.3355095283421163
NC(=O)c1ccc(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)cc1N,1.3354081780185993
Nc1ccc(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)cc1,1.335181684635281
CN(c1ccc(F)c(CC(=O)O)c1)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3349087872839531
NNC(=O)c1ccc(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)s1,1.3334398333460007
O=Cc1cc([N+](=O)[O-])ccc1-c1nnc2sc3cc(=O)ccc-3nn12,1.3331052975912399
NCCc1ccc(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)s1,1.3330232394360908
Nc1cc(O)c(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)cc1F,1.3323837572841268
CCOc1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.332330687141607
CN(c1ccc2c(c1)CCCC2=O)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3318296046636102
O=C1CCC(c2ccc(OCc3cc([N+](=O)[O-])ccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)CC1,1.331286542437308
Nc1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3311861462471377
CN(c1ccc(F)c(C(N)=O)c1)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3309024941989325
O=c1cc2sc3nnc(-c4ccncc4)n3nc-2cc1-c1ncc(O)cn1,1.3305716632402413
Nc1cc(CO)ccc1-c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3295881612967164
COc1cc(OC)c(C=CC(=O)c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(OC)c1,1.3295193469031554
CCC(C)(C)c1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.3294675207687847
CN(c1cccc(C(=O)O)c1)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3292753382611324
CC(C)(C)c1ccc(OCc2cc(N)ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(C=O)c1,1.3292019383031346
Nc1ccc(-c2nnc3sc4cc(=O)ccc-4nn23)c(COc2ccc3c(c2)C(=O)CC3)c1,1.327998894740644
CC(C)(C)c1ccc(OCc2cc(N)ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(Br)c1,1.3269599299530703
O=c1cc2sc3nnc(-c4ccccc4)n3nc-2cc1C(O)c1ccc(O)cc1O,1.3264679433461066
Nc1cccc(COc2ccc(CCC(=O)O)cc2)c1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.325196849359091
CCCCOc1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.3248485986643213
CC(=O)c1ccc(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)c(N)c1,1.324624705303902
O=c1cc2sc3nnc(-c4ccccc4)n3nc-2cc1C(O)c1cc(O)ccc1O,1.3244922420893923
Nc1cccc(COc2ccc3c(c2)C(=O)CC3)c1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.324373968586134
CC(=O)OCCC(=O)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3243682792707414
O=C(O)c1cc([N+](=O)[O-])nn1-c1cc2nn3c(-c4ccncc4)nnc3sc-2cc1=O,1.324226740486056
O=c1cc(O)c2nn3c(-c4ccccc4N=Nc4cc5c(cc4B(O)O)OCCO5)nnc3sc-2c1O,1.3237987508910376
COC(=O)c1cc(N(C)c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)ccc1O,1.323306102760472
Cc1cccc(N(C)c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c1N,1.3226904901699883
COC(=O)CCc1ccc(OCc2cc(N)ccc2-c2nnc3sc4cc(=O)ccc-4nn23)cc1,1.3226788035991455
COc1cc(=O)c(OC)c2sc3nnc(-c4ccc(N)cc4C=O)n3nc1-2,1.3220512180952189
COc1cc(=O)c(OC)c2sc3nnc(-c4ccc(N)cc4COc4ccc(CCC(=O)O)cc4)n3nc1-2,1.3217374640272217
Nc1ccc(-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(COc2ccc(C3CCCCC3)cc2)c1,1.320697709959838
Nc1cccc(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)c1N,1.3203659730023758
CCOc1ccc(OCc2cc(N)ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(F)c1F,1.3201995097347532
CN(C)c1ccc(-c2cc3nn4c(-c5ccccc5N)nnc4sc-3cc2=O)cc1,1.3200113766305686
Nc1ccc(-c2nnc3sc4c(Br)c(=O)cc(Br)c-4nn23)c(COc2ccc(CCC(=O)O)cc2O)c1,1.3197969668679084
CN(c1cc(N)cc(C(F)(F)F)c1)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.319708295625496
O=C(CCCCCO)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3190944843077048
Nc1ccc(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)cc1C=O,1.3185647603540311
COc1cc(CC(C)=O)ccc1OCc1cc([N+](=O)[O-])ccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3181123320667387
CCCCCCOc1ccc(OCc2cc([N+](=O)[O-])ccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.3180221625402293
Cc1cc(N(C)c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)c(C)cc1O,1.31776634943519
COC(=O)CCc1ccc(OCc2cccc(N)c2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.317429960785668
CN(C)Cc1c(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cccc1[N+](=O)[O-],1.3173086308512243
COC1CCN(c2cc3nn4c(-c5ccncc5)nnc4sc-3cc2=O)CC1,1.316920257109239
Cc1ccc(N)cc1Nc1ccc(-c2ccccc2-c2nnc3sc4c(O)c(=O)cc(O)c-4nn23)cc1,1.3163598952800504
Nc1ccccc1-c1nnc2sc3c(O)c(=O)c(C=O)c(O)c-3nn12,1.3158312789186493
COc1cc2nn3c(-c4ccc(N)cc4COc4ccc(CCC(=O)O)cc4)nnc3sc-2c(OC)c1=O,1.3158012853512577
COc1cc2nn3c(-c4ccc(N)cc4C=O)nnc3sc-2c(OC)c1=O,1.3157789847650085
COc1cc(CC(C)=O)ccc1OCc1cc(N)ccc1-c1nnc2sc3cc(=O)ccc-3nn12,1.3154867032794118
CC(C)(C)c1c2nn3c(-c4ccccc4N)nnc3sc-2cc(=O)c1C=O,1.3154557999363161
COc1cc(CC(C)=O)ccc1OCc1cccc(N)c1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3149846462233845
CC(C)(C)c1cc(=O)cc2sc3nnc(-c4ccccc4-c4ccc(C(=N)NO)s4)n3nc1-2,1.314888981553378
CN(c1ccc(F)c(C(=O)O)c1)c1ccccc1-c1nnc2sc3c(O)c(=O)cc(O)c-3nn12,1.3142742245100056
O=c1cc(O)c2nn3c(-c4ccccc4N=Nc4ccc5c(c4O)OCCO5)nnc3sc-2c1O,1.3133705460830296
COCCN1CCN(c2cc3nn4c(-c5ccccc5C)nnc4sc-3cc2=O)CC1,1.3133159148234859
Nc1cc(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)cc([N+](=O)[O-])c1,1.3129876095341853
NCc1ccc(Nc2ccc(-c3ccccc3-c3nnc4sc5c(O)c(=O)cc(O)c-5nn34)cc2)cc1,1.3125833062210206
N=C(NO)c1ccc(-c2ccccc2-c2nnc3sc4cc(=O)cc(Cl)c-4nn23)s1,1.3120168688184295
