,PC 1,PC 2,Class
174,38.4492,-41.88334,All candidates
175,38.027916,-54.759403,All candidates
176,34.16252,-54.441715,All candidates
177,-41.753563,-42.709866,All candidates
178,-1.9080912,73.914505,All candidates
179,3.8351378,2.8493464,All candidates
180,19.95674,-29.649387,All candidates
181,21.192781,-30.110731,All candidates
182,-38.117016,-7.4578347,All candidates
183,25.169947,-14.569155,All candidates
184,3.834629,2.8766613,All candidates
185,-7.6957483,38.773838,All candidates
186,34.171978,-52.715897,All candidates
187,-33.93005,26.420425,All candidates
188,27.936928,-54.93916,All candidates
189,-48.175102,24.742601,All candidates
190,20.721794,-13.041136,All candidates
191,38.200157,45.203285,All candidates
192,20.68464,-13.246997,All candidates
193,15.610742,-16.56373,All candidates
194,38.83193,44.596764,All candidates
195,-2.8578572,-67.18994,All candidates
196,7.636715,77.65118,All candidates
197,35.922813,-30.791136,All candidates
198,32.765804,-32.189667,All candidates
199,-18.834976,6.5757966,All candidates
200,36.2203,-52.91763,All candidates
201,-8.595849,-40.41462,All candidates
202,-62.75964,-24.241358,All candidates
203,57.345165,-24.360653,All candidates
204,5.5185637,2.6003623,All candidates
205,28.752497,-17.977045,All candidates
206,70.815926,3.7321675,All candidates
207,29.556166,-20.15448,All candidates
208,44.225925,-24.157515,All candidates
209,37.26374,-54.270176,All candidates
210,-1.8122433,17.894236,All candidates
211,26.663107,-38.866375,All candidates
212,-19.316545,39.21147,All candidates
213,-5.818761,-56.91354,All candidates
214,-5.62845,18.512018,All candidates
215,-60.191704,-27.257544,All candidates
216,-19.655598,-68.92967,All candidates
217,58.135227,-20.712967,All candidates
218,24.76629,-14.366706,All candidates
219,24.766354,-14.366775,All candidates
220,58.549828,-21.6845,All candidates
221,58.550312,-21.68451,All candidates
222,26.424147,-38.91787,All candidates
223,-60.81968,-23.631645,All candidates
224,25.13469,55.920998,All candidates
225,16.183363,27.909075,All candidates
226,16.183088,27.909378,All candidates
227,-39.284973,30.168203,All candidates
228,34.55922,-55.66517,All candidates
229,-17.641354,73.61402,All candidates
230,33.634644,-19.224945,All candidates
231,24.510473,55.928802,All candidates
232,-48.190536,24.709665,All candidates
233,46.645966,15.96875,All candidates
234,-51.947376,39.10214,All candidates
235,1.3035635,22.460114,All candidates
236,-71.947136,-20.455355,All candidates
237,-48.088528,24.581581,All candidates
238,39.790997,44.5872,All candidates
239,36.149055,-34.59307,All candidates
240,-82.699455,-0.5043885,All candidates
241,55.23385,-21.328222,All candidates
242,37.905632,-52.53143,All candidates
243,30.509056,-18.544216,All candidates
244,-84.729256,3.7663796,All candidates
245,-48.168373,24.699024,All candidates
246,-17.293322,21.407057,All candidates
247,-0.715106,37.28918,All candidates
248,40.69615,31.528114,All candidates
249,-61.207783,-16.563717,All candidates
250,5.8918,-65.30175,All candidates
251,57.70533,-22.412315,All candidates
252,-17.939037,6.033677,All candidates
253,-7.3218203,-40.872993,All candidates
254,30.30785,-56.37514,All candidates
255,42.048847,-42.48642,All candidates
256,1.6071916,6.244657,All candidates
257,5.8402286,-65.64637,All candidates
258,-17.557545,6.5040784,All candidates
259,37.582928,-27.48323,All candidates
260,-43.759174,-38.685406,All candidates
261,-82.04513,4.2704945,All candidates
262,-82.39365,6.2301593,All candidates
263,1.520398,6.9828877,All candidates
264,20.293867,-30.106853,All candidates
265,34.46141,-33.607307,All candidates
266,-18.736029,-32.116425,All candidates
267,37.403786,-52.207348,All candidates
268,12.369771,78.80203,All candidates
269,38.617447,-27.946165,All candidates
270,-57.455845,-21.704271,All candidates
271,-57.893597,-18.817154,All candidates
272,-20.273516,39.683025,All candidates
273,-61.205284,-16.544153,All candidates
274,-40.191914,-34.230488,All candidates
275,-61.266823,-17.29731,All candidates
276,37.23376,-32.111477,All candidates
277,21.245552,-50.40699,All candidates
278,16.396103,16.76647,All candidates
279,35.741554,-54.866676,All candidates
280,-20.229235,37.74799,All candidates
281,56.848843,-21.750734,All candidates
282,-38.777466,-16.3889,All candidates
283,1.6066587,-66.20904,All candidates
284,-17.714529,73.63601,All candidates
